pair_id,group_id,set_id,drug,section,severity,expert_label,rule_text,indicator_text,indicator_value,rule_has_numeric,rule_has_comparator,rule_has_unit,indicator_is_numeric,lexical_overlap,rule_has_negation,section_is_interaction,section_is_contraindication,section_is_dosage,severity_is_high,clause_count_scaled,token_count_scaled
PUB-0001,ff94f90abeedc0dc,0002ad27-779d-42ab-83b5-bc65453412a1,TRAMETINIB,Dosage and Administration,moderate,ExpertA,2.2 Recommended Dosage MEKINIST Tablets Adult Patients The recommended dosage for MEKINIST tablets in adult patients is 2 mg orally taken once daily [see Dosage and Administration (2.3)] .,Total Cholesterol 209.5 mg/dL,209.5,1.0,0.0,1.0,1.0,0.04,0.0,0.0,0.0,1.0,0.0,0.16666666666666666,0.16666666666666666
PUB-0002,ff94f90abeedc0dc,0002ad27-779d-42ab-83b5-bc65453412a1,TRAMETINIB,Dosage and Administration,moderate,ExpertA,2.2 Recommended Dosage MEKINIST Tablets Adult Patients The recommended dosage for MEKINIST tablets in adult patients is 2 mg orally taken once daily [see Dosage and Administration (2.3)] .,Triglycerides 198.3 mg/dL,198.3,1.0,0.0,1.0,1.0,0.08695652173913043,0.0,0.0,0.0,1.0,0.0,0.16666666666666666,0.16666666666666666
PUB-0003,ff94f90abeedc0dc,0002ad27-779d-42ab-83b5-bc65453412a1,TRAMETINIB,Dosage and Administration,moderate,ExpertA,2.2 Recommended Dosage MEKINIST Tablets Adult Patients The recommended dosage for MEKINIST tablets in adult patients is 2 mg orally taken once daily [see Dosage and Administration (2.3)] .,Low Density Lipoprotein Cholesterol 112.5 mg/dL,112.5,1.0,0.0,1.0,1.0,0.037037037037037035,0.0,0.0,0.0,1.0,0.0,0.16666666666666666,0.16666666666666666
PUB-0004,ff94f90abeedc0dc,0002ad27-779d-42ab-83b5-bc65453412a1,TRAMETINIB,Dosage and Administration,moderate,ExpertA,2.2 Recommended Dosage MEKINIST Tablets Adult Patients The recommended dosage for MEKINIST tablets in adult patients is 2 mg orally taken once daily [see Dosage and Administration (2.3)] .,High Density Lipoprotein Cholesterol 57.4 mg/dL,57.4,1.0,0.0,1.0,1.0,0.037037037037037035,0.0,0.0,0.0,1.0,0.0,0.16666666666666666,0.16666666666666666
PUB-0005,5135a3662b1a2f69,002d4c7e-b94e-49b6-8554-0aa0c60d5bde,unknown,Dosage and Administration,moderate,ExpertA,Adjunctive Therapy Valproic acid capsules may be added to the patient's regimen at a dosage of 10 to 15 mg/kg/day.,Pain severity - 0-10 verbal numeric rating [Score] - Reported 0.0 {score},0.0,1.0,0.0,1.0,1.0,0.03333333333333333,0.0,0.0,0.0,1.0,0.0,0.08333333333333333,0.18333333333333332
PUB-0006,5135a3662b1a2f69,002d4c7e-b94e-49b6-8554-0aa0c60d5bde,unknown,Dosage and Administration,moderate,ExpertA,Adjunctive Therapy Valproic acid capsules may be added to the patient's regimen at a dosage of 10 to 15 mg/kg/day.,Body Weight 74.6 kg,74.6,1.0,0.0,1.0,1.0,0.038461538461538464,0.0,0.0,0.0,1.0,0.0,0.08333333333333333,0.18333333333333332
PUB-0007,5135a3662b1a2f69,002d4c7e-b94e-49b6-8554-0aa0c60d5bde,unknown,Dosage and Administration,moderate,ExpertA,Adjunctive Therapy Valproic acid capsules may be added to the patient's regimen at a dosage of 10 to 15 mg/kg/day.,Body Mass Index 27.2 kg/m2,27.2,1.0,0.0,1.0,1.0,0.03571428571428571,0.0,0.0,0.0,1.0,0.0,0.08333333333333333,0.18333333333333332
PUB-0008,5135a3662b1a2f69,002d4c7e-b94e-49b6-8554-0aa0c60d5bde,unknown,Dosage and Administration,moderate,ExpertA,Adjunctive Therapy Valproic acid capsules may be added to the patient's regimen at a dosage of 10 to 15 mg/kg/day.,Diastolic Blood Pressure 78.0 mm[Hg],78.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.08333333333333333,0.18333333333333332
PUB-0009,6743cef7ab9fd051,0030ffac-183a-472c-95b8-f93b4195de04,ROPINIROLE,Dosage and Administration,moderate,ExpertA,2.2 Dosing for Parkinson's Disease The recommended starting dose of ropinirole tablets for Parkinson’s disease is 0.25 mg 3 times daily.,Potassium 4.7 mmol/L,4.7,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.08333333333333333,0.16666666666666666
PUB-0010,6743cef7ab9fd051,0030ffac-183a-472c-95b8-f93b4195de04,ROPINIROLE,Dosage and Administration,moderate,ExpertA,2.2 Dosing for Parkinson's Disease The recommended starting dose of ropinirole tablets for Parkinson’s disease is 0.25 mg 3 times daily.,Chloride 108.1 mmol/L,108.1,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.08333333333333333,0.16666666666666666
